price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
389000,3,1.75,2180,9220,1.0,4,7,1090,1090,1938,0,98001,47.3547,122.285,2050,22400
341780,4,2.75,2260,4440,2.0,3,7,2260,0,2014,0,98001,47.3507,122.291,2260,4563
319900,4,2.75,2475,4000,2.0,3,7,2475,0,2014,0,98002,47.3452,122.21,2166,4000
292000,4,3.0,1984,4460,2.0,3,7,1984,0,2012,0,98002,47.3532,122.211,2095,3402
298000,3,2.5,1852,4000,2.0,3,7,1852,0,2014,0,98002,47.3455,122.21,2166,4000
289950,3,2.5,2099,4275,2.0,3,7,2099,0,2010,0,98002,47.3521,122.211,2099,4275
297000,4,2.5,2230,4952,2.0,3,8,2230,0,2011,0,98002,47.3363,122.211,2030,3721
319900,4,2.75,2475,4276,2.0,3,7,2475,0,2014,0,98002,47.345,122.21,2475,4000
260000,4,2.5,2150,3721,2.0,3,8,2150,0,2006,0,98002,47.3363,122.217,2150,3721
261000,3,2.25,1584,2800,2.0,3,7,1584,0,2012,0,98002,47.3451,122.214,1584,2800
184500,3,1.5,1280,3640,2.0,3,6,1280,0,1983,0,98002,47.334,122.214,1150,4105
255900,3,2.5,1489,3266,2.0,3,7,1489,0,2014,0,98002,47.3452,122.217,1537,3273
273500,3,2.5,1550,3402,2.0,3,7,1550,0,2009,0,98002,47.3523,122.212,2095,3402
183000,3,1.5,1280,4366,2.0,4,6,1280,0,1985,0,98002,47.335,122.215,1280,4366
329900,4,2.75,2475,4000,2.0,3,7,2475,0,2014,0,98002,47.3452,122.209,2475,4000
266000,3,2.5,1805,3402,2.0,3,7,1805,0,2009,0,98002,47.3521,122.212,2095,3402
263000,3,2.5,1584,3200,2.0,3,7,1584,0,2011,0,98002,47.3451,122.215,1584,2800
319500,4,2.5,2730,4962,2.0,3,8,2730,0,2006,0,98002,47.3363,122.216,2150,3802
335900,4,2.75,2475,4000,2.0,3,7,2475,0,2014,0,98002,47.345,122.209,2475,4000
298900,3,2.5,1852,4000,2.0,3,7,1852,0,2014,0,98002,47.3451,122.209,2475,4000
282900,4,2.5,1710,3500,2.0,3,7,1710,0,2014,0,98002,47.3448,122.217,1710,3500
285000,3,2.5,2437,5136,2.0,3,7,2437,0,2011,0,98002,47.3517,122.21,2437,4614
240000,3,2.25,1481,2820,2.0,3,7,1481,0,2012,0,98002,47.3457,122.217,1481,3028
236000,3,1.75,1330,6301,1.0,3,7,1330,0,1998,0,98002,47.3411,122.219,1330,6144
275000,4,2.5,2150,3721,2.0,3,8,2150,0,2007,0,98002,47.3363,122.215,2150,3721
259000,3,2.5,1550,3569,2.0,3,7,1550,0,2011,0,98002,47.3528,122.211,2095,3402
250000,3,1.75,1160,6134,1.0,3,7,1160,0,1998,0,98002,47.3414,122.218,1330,6301
167000,3,1.5,1280,5547,2.0,4,6,1280,0,1985,0,98002,47.3344,122.215,1150,4500
187000,3,1.5,1280,4452,2.0,3,6,1280,0,1985,0,98002,47.3344,122.216,1070,4366
300000,4,3.0,1984,4419,2.0,3,7,1984,0,2010,0,98002,47.3514,122.213,2440,4418
257000,3,2.5,1740,3721,2.0,3,8,1740,0,2009,0,98002,47.3363,122.213,2030,3794
185000,3,1.5,1280,4031,2.0,4,6,1280,0,1985,0,98002,47.3342,122.215,1150,4500
215000,3,1.5,1280,5065,2.0,4,6,1280,0,1983,0,98002,47.3343,122.217,1070,4491
260000,3,2.25,1489,2800,2.0,3,7,1489,0,2011,0,98002,47.3452,122.215,1584,3200
250000,3,2.25,1481,2820,2.0,3,7,1481,0,2012,0,98002,47.3457,122.217,1481,2889
292500,3,2.5,2095,3438,2.0,3,7,2095,0,2008,0,98002,47.3523,122.213,1805,3402
265000,3,2.25,1489,2800,2.0,3,7,1489,0,2012,0,98002,47.3454,122.214,1584,2800
160000,2,1.0,1070,4200,1.0,4,6,1070,0,1983,0,98002,47.3336,122.215,1150,4200
267000,3,2.25,1584,2800,2.0,3,7,1584,0,2012,0,98002,47.3454,122.214,1584,2800
240000,3,1.0,1260,7920,1.0,3,7,1260,0,1966,0,98003,47.3452,122.308,1300,7920
242000,3,1.75,1300,9856,1.0,4,7,1300,0,1962,0,98003,47.3448,122.298,1400,9600
235500,3,1.5,1380,7600,1.0,4,7,790,590,1971,0,98003,47.3489,122.306,1570,7904
260750,3,2.0,1560,9635,1.0,3,7,1260,300,1966,0,98003,47.341,122.309,1570,8276
205000,3,1.0,1180,8240,1.0,4,7,1180,0,1967,0,98003,47.3325,122.321,1180,7840
225000,3,2.25,2510,12013,2.0,3,8,2510,0,1988,0,98003,47.3473,122.314,1870,8017
358000,3,2.25,2510,12013,2.0,3,8,2510,0,1988,0,98003,47.3473,122.314,1870,8017
266000,3,2.25,1550,6022,2.0,3,8,1550,0,1989,0,98003,47.3525,122.304,1650,5627
247000,3,2.5,1510,10875,1.0,3,7,1150,360,1990,0,98003,47.3482,122.3,1810,9916
240000,3,2.0,1030,11118,1.0,5,7,1030,0,1970,0,98003,47.3463,122.308,1300,7920
345000,3,2.75,2190,7258,2.0,3,8,2190,0,2000,0,98003,47.3486,122.301,2190,8645
375000,3,2.75,2200,9600,1.0,4,8,1570,630,1977,0,98003,47.3438,122.323,2680,9896
230500,3,2.25,1690,7245,1.0,3,7,1160,530,1973,0,98003,47.3505,122.305,1690,6720
375000,3,2.5,2050,7205,2.0,3,8,2050,0,2000,0,98003,47.3487,122.304,2050,7264
290000,3,2.25,1620,7772,2.0,4,8,1620,0,1988,0,98003,47.3521,122.302,1710,6455
333490,4,2.5,2250,3916,2.0,3,8,2250,0,2014,0,98003,47.3413,122.18,2156,3920
200126,3,2.5,2040,15463,1.0,3,8,1340,700,1968,0,98003,47.3334,122.322,2370,12672
256400,3,1.5,1490,7800,1.0,3,7,1010,480,1963,0,98003,47.3431,122.304,1570,7800
279000,3,2.25,2070,7800,1.0,3,7,1170,900,1964,0,98003,47.3431,122.305,1570,8400
222000,3,1.75,1240,7560,1.0,3,8,1070,170,1967,0,98003,47.333,122.3,1650,7560
290000,3,1.5,1950,15954,1.0,4,8,1950,0,1959,0,98003,47.336,122.319,1940,12667
260000,3,3.0,2390,8993,2.0,3,8,1680,710,1988,0,98003,47.3532,122.306,1820,10362
335000,3,2.5,2440,7632,2.0,3,8,2440,0,1998,0,98003,47.3494,122.301,2510,7903
242000,3,1.75,1500,7560,1.0,3,7,1500,0,1979,0,98003,47.3467,122.296,1500,7560
355000,3,2.0,2160,8091,1.5,3,8,2160,0,2000,0,98003,47.3474,122.303,2190,8297
227490,3,1.75,1820,7194,1.0,4,7,1820,0,1967,0,98003,47.3352,122.307,1420,7560
240000,3,2.5,1620,5250,2.0,3,8,1620,0,1987,0,98003,47.3538,122.301,1650,5250
340768,3,1.5,1510,11200,1.0,4,8,1510,0,1960,0,98003,47.3347,122.325,2110,12070
284850,3,1.5,1590,8256,1.0,3,7,1090,500,1969,0,98003,47.3488,122.304,1950,7840
560000,4,2.0,2720,8819,2.0,3,8,2240,480,1976,0,98003,47.338,122.333,2960,9672
335000,4,2.5,2520,7205,2.0,3,8,2520,0,1987,0,98003,47.343,122.316,2350,7632
237000,3,2.0,1710,7920,1.0,3,8,1260,450,1968,0,98003,47.3473,122.305,1760,8120
349950,3,2.5,2240,7565,2.0,3,8,2240,0,1999,0,98003,47.3485,122.301,2190,8254
257000,3,2.25,1810,12000,2.0,3,7,1810,0,1992,0,98003,47.3476,122.3,1720,9916
369160,4,2.25,2120,9680,2.0,4,8,2120,0,1965,0,98003,47.3367,122.332,2360,9647
225000,3,2.25,1650,7739,1.0,3,8,1290,360,1986,0,98003,47.3532,122.304,1650,6033
199000,3,1.0,1510,9100,1.0,3,7,1510,0,1966,0,98003,47.3331,122.319,1180,7220
267950,4,1.0,1730,7350,1.5,4,6,1730,0,1970,0,98003,47.3467,122.307,1440,7752
250000,3,2.25,1900,9990,1.0,3,7,1300,600,1961,0,98003,47.3478,122.298,1900,9990
255000,4,2.5,2070,7800,2.0,3,8,2070,0,1989,0,98003,47.3487,122.315,1950,7815
560000,4,3.0,3080,9601,2.0,3,10,3080,0,1990,0,98003,47.334,122.332,3200,9375
250000,3,1.0,1300,8284,1.0,3,7,1300,0,1968,0,98003,47.3327,122.306,1360,7848
245000,3,2.0,1450,9333,2.0,4,7,1450,0,1972,0,98003,47.346,122.315,1910,7701
169575,3,1.0,1300,8284,1.0,3,7,1300,0,1968,0,98003,47.3327,122.306,1360,7848
200000,4,2.75,2210,13235,2.0,3,8,1730,480,1988,0,98003,47.3541,122.303,1750,7542
236000,3,1.75,1300,8976,1.0,3,7,1300,0,1967,0,98003,47.3357,122.305,1430,9750
182000,3,2.25,1960,8875,1.0,3,7,1290,670,1965,0,98003,47.3344,122.301,1890,8700
264000,3,1.5,1820,10608,1.0,4,7,1820,0,1962,0,98003,47.3366,122.306,1380,8976
338000,4,2.5,2370,10631,2.0,3,8,2370,0,1999,0,98003,47.3473,122.302,2200,8297
190000,3,1.0,1090,8520,1.0,3,7,1090,0,1967,0,98003,47.3364,122.307,1190,8520
197400,3,2.0,1610,7575,1.0,4,7,1110,500,1965,0,98003,47.334,122.3,1920,8400
152500,4,1.0,1730,7350,1.5,4,6,1730,0,1970,0,98003,47.3467,122.307,1440,7752
280000,3,2.25,1700,7210,1.0,4,7,1250,450,1974,0,98003,47.3546,122.318,2070,7300
314500,3,1.75,1870,12381,1.0,4,8,1870,0,1957,0,98003,47.3358,122.32,1950,12667
285000,3,2.5,2090,10834,1.0,4,8,1360,730,1987,0,98003,47.3537,122.303,1750,8595
384435,3,2.5,2029,3906,2.0,3,9,2029,0,2014,0,98003,47.341,122.18,2029,3920
325000,3,2.5,2000,7205,2.0,3,8,2000,0,1998,0,98003,47.3499,122.302,2180,7611
215000,3,1.0,1690,7700,1.0,4,7,1690,0,1969,0,98003,47.3444,122.304,1590,7700
245000,3,3.0,1990,9600,1.0,3,7,1440,550,1988,0,98003,47.3499,122.296,1670,9600
270000,3,2.25,2140,9990,1.0,4,8,2140,0,1962,0,98003,47.3484,122.298,2060,9990
318000,3,1.75,1570,12506,1.0,4,8,1570,0,1959,0,98003,47.3365,122.319,2120,13243
265000,3,2.5,1660,5250,2.0,4,8,1660,0,1988,0,98003,47.3541,122.3,1630,5505
357000,3,1.75,2400,14012,1.0,3,9,2400,0,1971,0,98003,47.3371,122.325,2800,13988
316000,4,2.5,2320,7379,2.0,3,8,2320,0,1987,0,98003,47.3432,122.316,2230,7614
170000,2,1.0,1300,11400,1.0,3,7,1300,0,1961,0,98003,47.3459,122.299,1360,9750
515000,3,2.5,2360,11254,1.0,3,9,2360,0,1990,0,98003,47.3356,122.333,2390,11254
239999,3,2.75,1740,8436,1.0,3,7,1140,600,1967,0,98003,47.3456,122.305,1550,8436
225000,3,2.0,1460,7740,1.0,3,7,1460,0,1968,0,98003,47.3467,122.306,1540,7644
275000,4,1.5,1930,15531,2.0,3,7,1930,0,1979,0,98003,47.345,122.296,1580,7800
285000,3,1.5,1780,12231,1.0,4,8,1780,0,1956,0,98003,47.335,122.321,2460,12663
240000,3,2.0,1460,7526,1.0,3,7,1460,0,1968,0,98003,47.3463,122.304,1580,7526
329000,3,2.0,1840,6755,1.0,3,8,1840,0,1989,0,98003,47.3512,122.305,1790,6459
335000,4,2.5,2210,7214,2.0,3,8,2210,0,2003,0,98003,47.3554,122.298,2270,7246
248000,3,1.75,1840,19501,1.0,4,8,1270,570,1972,0,98003,47.3364,122.318,1910,12000
304500,3,2.25,1790,6930,1.0,3,7,1390,400,1974,0,98003,47.3536,122.317,1810,7420
325000,3,1.5,1890,7650,1.0,5,7,1890,0,1966,0,98003,47.3454,122.314,1510,7560
251000,3,1.75,1350,10125,1.0,3,8,1350,0,1967,0,98003,47.3334,122.298,1520,9720
230000,3,1.0,1250,9774,1.0,4,7,1250,0,1969,0,98003,47.3343,122.306,1280,8850
860000,3,2.0,1880,8494,1.0,4,7,1200,680,1968,0,98004,47.6217,122.192,1290,9128
725000,3,1.75,1690,8489,1.0,4,7,1690,0,1959,0,98004,47.6079,122.192,1850,8536
720000,2,1.0,1370,9460,1.0,3,6,1370,0,1950,0,98004,47.6238,122.191,1690,9930
650000,3,1.75,2140,9484,1.0,3,7,1290,850,1953,0,98004,47.6234,122.191,1960,9630
805500,3,1.0,1440,10330,1.0,4,7,1440,0,1952,0,98004,47.6245,122.193,2080,10327
898000,2,1.75,1490,9874,1.0,4,7,1490,0,1963,0,98004,47.6246,122.199,2280,9869
775000,3,1.75,1640,18730,1.5,4,7,1640,0,1946,0,98004,47.5975,122.196,1670,12154
1014250,3,1.0,1640,12855,1.5,5,6,1500,140,1920,0,98004,47.6169,122.212,2190,11262
1034500,4,2.5,2370,10858,2.0,3,9,2370,0,2003,0,98004,47.6336,122.192,2510,21673
625000,3,2.0,1730,12219,1.0,4,7,1730,0,1986,0,98004,47.5825,122.189,2470,13594
975000,4,2.25,2420,15482,2.0,4,8,2420,0,1925,1997,98004,47.5907,122.196,2870,13905
712500,3,1.5,1660,8797,1.0,4,7,1660,0,1956,0,98004,47.5892,122.202,2350,10053
760000,3,1.75,1410,15120,1.0,4,7,1410,0,1950,0,98004,47.5974,122.195,1880,15120
816000,3,1.5,1180,8545,1.0,3,8,1180,0,1952,0,98004,47.624,122.2,1660,9000
815000,3,1.5,1370,8671,1.0,3,7,1370,0,1955,0,98004,47.6217,122.198,1580,8671
1000000,4,2.0,1780,15648,1.5,5,8,1780,0,1918,0,98004,47.5849,122.198,2320,14963
725000,3,1.75,1630,9000,1.0,3,7,960,670,1955,0,98004,47.6023,122.205,1880,9000
990400,3,2.5,2100,4097,2.0,3,9,2100,0,2008,0,98004,47.5983,122.2,1820,4764
888000,3,1.5,1250,8710,1.0,4,7,1250,0,1953,0,98004,47.6245,122.198,1750,9185
750000,3,1.75,1590,8285,1.0,4,8,1590,0,1956,0,98004,47.5855,122.194,1970,8970
915000,3,1.0,1560,8232,1.0,3,7,1560,0,1952,0,98004,47.623,122.205,1930,8286
727500,2,2.0,1240,9119,1.0,4,7,1240,0,1952,0,98004,47.6221,122.193,1380,9121
667500,3,1.75,2130,20423,1.0,3,9,2130,0,1953,0,98004,47.6339,122.192,2370,20875
860000,3,1.75,2600,15064,1.0,4,8,1700,900,1967,0,98004,47.64,122.204,2940,14984
875000,3,2.5,1820,6848,1.0,4,7,1820,0,1953,0,98004,47.6287,122.207,2080,11700
925000,3,1.75,1610,10796,1.0,3,7,1070,540,1951,0,98004,47.6272,122.208,1940,10796
949880,4,2.25,2290,10687,2.0,3,9,2290,0,1978,0,98004,47.5878,122.202,2290,10300
943500,3,2.25,2370,10890,2.0,4,7,2370,0,1980,0,98004,47.5827,122.197,2370,9514
1027000,3,2.5,2430,10500,2.0,3,9,2430,0,1989,0,98004,47.5818,122.198,3440,12842
730000,3,1.75,2040,11294,1.0,4,7,1340,700,1952,0,98004,47.5923,122.197,2120,9587
746000,3,1.75,1910,12321,1.0,4,7,1100,810,1952,0,98004,47.5995,122.198,1910,11761
993000,4,2.0,2850,14810,2.0,5,8,2490,360,1954,0,98004,47.5892,122.203,2430,10454
765000,3,1.0,1220,7585,1.0,4,7,1220,0,1954,0,98004,47.6094,122.194,1380,8918
650000,3,1.0,1300,8266,1.0,4,7,1300,0,1953,0,98004,47.6337,122.199,1300,8707
680000,3,2.5,2620,14248,2.0,4,8,1830,790,1977,0,98004,47.6281,122.194,2620,12343
980000,4,2.25,2240,11034,2.0,3,8,2240,0,1976,0,98004,47.5894,122.195,2300,11550
635000,3,2.25,1940,7482,1.0,4,7,1240,700,1964,0,98004,47.6004,122.195,2340,9310
1100000,3,2.5,2200,20000,1.0,3,7,1400,800,1952,0,98004,47.5809,122.191,3050,11775
900000,3,3.25,2620,7215,1.0,4,8,1770,850,1980,0,98004,47.5836,122.2,2180,8931
927000,4,2.75,3300,12090,2.0,3,8,3300,0,1953,0,98004,47.6294,122.218,3180,12239
850000,3,1.75,1400,9900,1.0,3,7,1400,0,1951,0,98004,47.6272,122.209,1810,10796
745000,3,1.75,1490,9800,1.0,4,7,1140,350,1947,0,98004,47.584,122.198,2310,9800
787000,3,1.75,1330,7500,1.0,3,8,1330,0,1961,0,98004,47.6074,122.195,1690,7800
979000,3,1.5,1700,14133,1.0,4,8,1700,0,1954,0,98004,47.6166,122.22,2630,17376
641200,3,1.0,1060,9123,1.0,3,7,1060,0,1952,0,98004,47.6218,122.193,1620,9121
610000,3,2.0,2300,13418,1.0,3,8,1430,870,1955,0,98004,47.6075,122.2,2140,9380
985000,3,1.75,1700,8534,1.0,4,7,1700,0,1953,0,98004,47.6276,122.205,2100,10443
865000,3,1.5,1790,7526,1.0,3,7,1790,0,1953,2014,98004,47.6387,122.207,2080,10943
750000,3,1.0,1120,8549,1.0,3,7,1120,0,1952,0,98004,47.6294,122.205,1440,8640
987000,3,2.0,2160,15788,1.0,3,8,2160,0,1951,0,98004,47.6227,122.207,2260,9787
640000,4,2.5,2320,11259,2.0,3,9,2320,0,1982,0,98004,47.6443,122.194,2820,11770
782000,4,2.5,2830,20345,2.0,3,10,1980,850,1979,0,98004,47.6462,122.191,2830,13732
1130000,4,2.5,2660,11200,2.0,3,9,2660,0,1999,0,98004,47.5894,122.197,3290,11275
825000,3,1.75,1930,8442,1.0,4,7,1930,0,1953,0,98004,47.6313,122.204,1790,8442
843500,4,2.0,2630,16475,2.0,4,8,2630,0,1953,0,98004,47.639,122.219,2670,15001
921000,3,2.25,2380,11200,1.0,4,8,2380,0,1963,0,98004,47.5873,122.193,2010,11200
672000,3,1.0,1220,8573,1.0,4,7,1220,0,1954,0,98004,47.6088,122.193,1390,8573
1050000,4,2.5,3030,12590,1.5,4,10,3030,0,1988,0,98004,47.5806,122.193,2980,11635
865000,3,1.75,1480,8163,1.0,3,7,1040,440,1953,0,98004,47.638,122.206,2170,11124
999999,3,2.5,2100,4097,2.0,3,9,2100,0,2008,0,98004,47.5983,122.2,1780,4764
990000,4,2.5,3140,11049,2.0,3,10,3140,0,1988,0,98004,47.5817,122.192,2750,11049
635250,3,2.25,2210,22040,1.0,5,8,1510,700,1976,0,98004,47.5904,122.194,2470,14258
975000,4,2.5,2720,11049,2.0,3,10,2720,0,1989,0,98004,47.5815,122.192,2750,11049
576000,3,1.75,1500,13891,1.0,4,7,1500,0,1951,0,98005,47.5866,122.175,2020,13891
831000,3,2.25,2240,8800,1.0,5,8,2240,0,1957,0,98005,47.5937,122.172,2240,8800
530000,3,1.75,1690,8190,1.0,4,8,1690,0,1958,0,98005,47.5857,122.172,1840,8705
685650,3,1.75,1490,16200,1.0,5,8,1490,0,1958,0,98005,47.5919,122.175,2070,16200
565000,3,2.5,1880,12368,1.0,4,7,1260,620,1967,0,98005,47.5901,122.167,1950,11551
617450,3,2.0,1580,14398,1.0,3,7,1080,500,1981,0,98005,47.6328,122.174,1650,14407
675000,3,1.75,1680,10500,1.0,4,8,1680,0,1959,0,98005,47.6098,122.169,2250,10400
725000,4,2.5,2650,18295,2.0,3,8,2650,0,1986,0,98005,47.6075,122.154,2230,19856
855000,4,3.0,3090,35074,2.0,3,9,3090,0,1978,0,98005,47.6359,122.159,3120,35150
960000,4,2.5,3430,43560,1.5,5,10,3430,0,1979,0,98005,47.6426,122.18,3700,44431
710000,3,1.75,1650,10250,1.0,5,8,1650,0,1963,0,98005,47.6118,122.169,2400,10250
577000,3,1.75,1760,12874,1.0,4,7,1230,530,1967,0,98005,47.5906,122.167,1950,10240
700000,3,1.75,2000,14733,1.0,4,8,2000,0,1958,0,98005,47.6001,122.178,2620,14733
580000,3,2.25,1670,7416,1.0,4,7,1220,450,1974,0,98005,47.6028,122.172,1710,7416
530000,3,2.5,2640,13775,1.0,3,8,1550,1090,1978,0,98005,47.5875,122.177,2120,12432
